[INFO] [2024-11-21 10:58:43,209] [autotune] internal metrics: [117.62857142857143, 126287.08571428571, 759768678.4, 472600824.6857143, 5964.885714285714, 46407.42857142857, 11089.942857142858, 941312292.5714285, 779486120.2285714, 57453.142857142855, 47576.05714285714, 794391.8, 19.057142857142857, 851864.0, 0.0, 0.0, 688304.5714285715, 38268.05714285714, 13958643712.0, 0.0, 359215.3142857143, 5504.228571428572, 5506.857142857143, 11032.771428571428, 182.31428571428572, 8180.771428571428, 0.0, 8182.085714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 9261.771428571428, 11074.171428571428, 121.57142857142857, 16384.0, 17469.485714285714, 42259.54285714286, 0.0, 659.7714285714286, 20167.057142857142, 674.8857142857142, 3285.714285714286, 151150.08571428573, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1232106.0571428572, 0.0, 457207.14285714284, 320.6857142857143, 3253.5142857142855, 46414.0, 11810.171428571428, 109448162.74285714, 333.8285714285714, -0.6571428571428571, 0.0, 1220.1142857142856].
[INFO] [2024-11-21 10:58:43,216] [DDPG_Optimizer] Calculate state mean and var.
[INFO] [2024-11-21 10:58:57,577] [DDPG] Finish Initializing Networks
[INFO] [2024-11-21 10:58:57,579] [DDPG] DDPG Initialzed!
[INFO] [2024-11-21 10:58:57,579] [DDPG_Optimizer] Iteration 1 create model
[INFO] [2024-11-21 10:58:57,580] [DBTune-sysbench_ddpg_74] Iteration 1, objective value: [-46.42944444444445].
[INFO] [2024-11-21 10:58:57,600] [autotune] max_join_size with value of is larger than max, adjusted
[INFO] [2024-11-21 10:58:57,600] [autotune] [step 2] generate knobs: {'back_log': 900, 'binlog_cache_size': 32768, 'connect_timeout': 10, 'ft_query_expansion_limit': 20, 'general_log': 'OFF', 'innodb_adaptive_max_sleep_delay': 150000, 'innodb_api_bk_commit_interval': 5, 'innodb_autoextend_increment': 64, 'innodb_buffer_pool_size': 13958643712, 'innodb_commit_concurrency': 0, 'innodb_concurrency_tickets': 5000, 'innodb_doublewrite': 'ON', 'innodb_fill_factor': 100, 'innodb_ft_result_cache_limit': 2000000000, 'innodb_ft_total_cache_size': 640000000, 'innodb_io_capacity': 200, 'innodb_io_capacity_max': 400, 'innodb_log_buffer_size': 16777216, 'innodb_log_file_size': 50331648, 'innodb_lru_scan_depth': 1024, 'innodb_max_dirty_pages_pct_lwm': 0, 'innodb_max_purge_lag': 0, 'innodb_max_purge_lag_delay': 0, 'innodb_max_undo_log_size': 1073741000, 'innodb_old_blocks_time': 1000, 'innodb_online_alter_log_max_size': 134217000, 'innodb_open_files': 2000, 'innodb_purge_batch_size': 300, 'innodb_purge_threads': 4, 'innodb_random_read_ahead': 'OFF', 'innodb_read_ahead_threshold': 56, 'innodb_read_io_threads': 4, 'innodb_spin_wait_delay': 6, 'innodb_stats_transient_sample_pages': 8, 'innodb_sync_spin_loops': 30, 'innodb_thread_concurrency': 0, 'innodb_thread_sleep_delay': 10000, 'join_buffer_size': 262144, 'key_buffer_size': 8388608, 'key_cache_age_threshold': 300, 'key_cache_block_size': 1024, 'log_output': 'FILE', 'max_allowed_packet': 4194304, 'max_binlog_cache_size': 18446744073709500000, 'max_binlog_size': 1073741824, 'max_binlog_stmt_cache_size': 18446744073709500000, 'max_connections': 151, 'max_delayed_threads': 20, 'max_heap_table_size': 16777216, 'max_join_size': 18446744073709551615, 'max_prepared_stmt_count': 16382, 'max_seeks_for_key': 18446744073709500000, 'max_sort_length': 1024, 'max_user_connections': 0, 'max_write_lock_count': 18446744073709500000, 'net_buffer_length': 16384, 'open_files_limit': 50000, 'preload_buffer_size': 32768, 'query_cache_limit': 1048576, 'query_cache_min_res_unit': 4096, 'query_cache_size': 1048576, 'query_prealloc_size': 8192, 'range_alloc_block_size': 4096, 'read_buffer_size': 131072, 'sort_buffer_size': 262144, 'stored_program_cache': 256, 'sync_binlog': 1, 'table_definition_cache': 1400, 'table_open_cache': 2000, 'table_open_cache_instances': 16, 'thread_cache_size': 0, 'tmp_table_size': 16777216, 'transaction_alloc_block_size': 8192, 'transaction_prealloc_size': 4096}

[INFO] [2024-11-21 10:59:57,690] [autotune] Force close!
[INFO] [2024-11-21 10:59:57,799] [autotune] mysql is shut down
[INFO] [2024-11-21 10:59:57,804] [autotune] generated config file done
[INFO] [2024-11-21 10:59:57,841] [autotune] wait for connection
[INFO] [2024-11-21 11:00:23,906] [autotune] Connected to MySQL db
[INFO] [2024-11-21 11:00:23,907] [autotune] finish 26 seconds waiting for connection
[INFO] [2024-11-21 11:00:23,908] [autotune] /usr/sbin/mysqld --defaults-file=scripts/template/experiment_normandy.cnf
[INFO] [2024-11-21 11:00:23,908] [autotune] mysql is up
[INFO] [2024-11-21 11:00:23,908] [autotune] sleeping for 5 seconds after restarting mysql
[INFO] [2024-11-21 11:00:29,339] [autotune] [DBG]. bash /root/OpAdviserPrivate/autotune/cli/run_sysbench.sh write localhost 3307 root password 150 800000 10 80 180 ./log/1732186829.log sbwrite
